web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-188","https://listfist.com/list-of-one-piece-manga-chapters","188","Okama Kenpo","June 25, 2001","19"
"1653553987-669","https://listfist.com/list-of-one-piece-manga-chapters","669","The Operation Begins","June 4, 2012","17"
"1653553987-1047","https://listfist.com/list-of-one-piece-manga-chapters","1047","The Sky Over the Capital","April 25, 2022","19"
"1653553987-914","https://listfist.com/list-of-one-piece-manga-chapters","914","Okobore Town","August 20, 2018","17"
"1653553987-232","https://listfist.com/list-of-one-piece-manga-chapters","232","The Hundred Million Man","June 3, 2002","19"
"1653553987-537","https://listfist.com/list-of-one-piece-manga-chapters","537","Okama in Hell","March 30, 2009","19"
"1653553987-1007","https://listfist.com/list-of-one-piece-manga-chapters","1007","Tanuki-San","March 15, 2021","17"
"1653553987-342","https://listfist.com/list-of-one-piece-manga-chapters","342","Messengers of Darkness","October 25, 2004","19"
"1653553987-283","https://listfist.com/list-of-one-piece-manga-chapters","283","Operation Love Rescue: Front Line","July 7, 2003","19"
"1653553987-368","https://listfist.com/list-of-one-piece-manga-chapters","368","Sea Train Battle Game","May 30, 2005","19"
"1653553987-8","https://listfist.com/list-of-one-piece-manga-chapters","8","Introducing Nami","September 13, 1997","19"
"1653553987-7","https://listfist.com/list-of-one-piece-manga-chapters","7","Friends","September 8, 1997","20"
"1653553987-697","https://listfist.com/list-of-one-piece-manga-chapters","697","Deal","February 4, 2013","19"
"1653553987-425","https://listfist.com/list-of-one-piece-manga-chapters","425","Struggle on the Bridge","September 4, 2006","19"
"1653553987-573","https://listfist.com/list-of-one-piece-manga-chapters","573","I Call the Name of This Age ""Whitebeard""","February 8, 2010","17"
"1653553987-967","https://listfist.com/list-of-one-piece-manga-chapters","967","Roger's Adventure","January 7, 2020","19"
"1653553987-351","https://listfist.com/list-of-one-piece-manga-chapters","351","Klabautermann","January 17, 2005","19"
"1653553987-951","https://listfist.com/list-of-one-piece-manga-chapters","951","Rampage","August 5, 2019","19"
"1653553987-231","https://listfist.com/list-of-one-piece-manga-chapters","231","Bellamy the Hyena","May 27, 2002","19"
"1653553987-908","https://listfist.com/list-of-one-piece-manga-chapters","908","The Reverie Begins","June 18, 2018","17"
"1653553987-57","https://listfist.com/list-of-one-piece-manga-chapters","57","Because of Dreams","September 21, 1998","19"
"1653553987-1028","https://listfist.com/list-of-one-piece-manga-chapters","1028","Brachiojaurus","October 11, 2021","17"
"1653553987-168","https://listfist.com/list-of-one-piece-manga-chapters","168","Rainbase, Town of Dreams","January 22, 2001","19"
"1653553987-64","https://listfist.com/list-of-one-piece-manga-chapters","64","Giant Battle Spear","November 9, 1998","18"
"1653553987-1025","https://listfist.com/list-of-one-piece-manga-chapters","1025","Twin Dragons Painting","September 13, 2021","17"
"1653553987-40","https://listfist.com/list-of-one-piece-manga-chapters","40","The Usopp Pirates","May 18, 1998","19"
"1653553987-828","https://listfist.com/list-of-one-piece-manga-chapters","828","1 and 2","June 6, 2016","17"
"1653553987-1013","https://listfist.com/list-of-one-piece-manga-chapters","1013","Anarchy In The B.M.","May 17, 2021","17"
"1653553987-551","https://listfist.com/list-of-one-piece-manga-chapters","551","Yonko ""Whitebeard""","July 27, 2009","19"
"1653553987-142","https://listfist.com/list-of-one-piece-manga-chapters","142","Skull, Crossbone and Sakura","July 3, 2000","19"
"1653553987-454","https://listfist.com/list-of-one-piece-manga-chapters","454","Humming","April 28, 2007","19"
"1653553987-517","https://listfist.com/list-of-one-piece-manga-chapters","517","Bathing","October 6, 2008","19"
"1653553987-782","https://listfist.com/list-of-one-piece-manga-chapters","782","The Charisma of Evil","April 6, 2015","19"
"1653553987-371","https://listfist.com/list-of-one-piece-manga-chapters","371","The Admirable Captain T-Bone","June 20, 2005","19"
"1653553987-139","https://listfist.com/list-of-one-piece-manga-chapters","139","Introducing Tony Tony Chopper","June 12, 2000","19"
"1653553987-395","https://listfist.com/list-of-one-piece-manga-chapters","395","Ohara vs. the World Government","January 7, 2006","19"
"1653553987-545","https://listfist.com/list-of-one-piece-manga-chapters","545","To the Sunshine in Outside World","June 8, 2009","19"
"1653553987-723","https://listfist.com/list-of-one-piece-manga-chapters","723","Change of Plans","October 7, 2013","19"
"1653553987-350","https://listfist.com/list-of-one-piece-manga-chapters","350","Warehouse Under the Bridge","January 3, 2005","19"
"1653553987-4","https://listfist.com/list-of-one-piece-manga-chapters","4","Marine Captain ""Axe-Hand Morgan""","August 11, 1997","19"
"1653553987-46","https://listfist.com/list-of-one-piece-manga-chapters","46","An Uninvited Guest","June 29, 1998","19"
"1653553987-13","https://listfist.com/list-of-one-piece-manga-chapters","13","Treasure","October 20, 1997","19"
"1653553987-247","https://listfist.com/list-of-one-piece-manga-chapters","247","Ordeal of Balls","September 22, 2002","19"
"1653553987-435","https://listfist.com/list-of-one-piece-manga-chapters","435","Understanding Your Feelings","November 20, 2006","19"
"1653553987-184","https://listfist.com/list-of-one-piece-manga-chapters","184","Molehill 4th St.","May 28, 2001","19"
"1653553987-799","https://listfist.com/list-of-one-piece-manga-chapters","799","Parent and Child","September 7, 2015","17"
"1653553987-758","https://listfist.com/list-of-one-piece-manga-chapters","758","Leave It and Go Ahead","September 1, 2014","17"
"1653553987-233","https://listfist.com/list-of-one-piece-manga-chapters","233","The Highest Authority in the World","June 10, 2002","19"
"1653553987-486","https://listfist.com/list-of-one-piece-manga-chapters","486","Piano","January 28, 2008","19"
"1653553987-104","https://listfist.com/list-of-one-piece-manga-chapters","104","Cape Promise","September 13, 1999","19"
"1653553987-625","https://listfist.com/list-of-one-piece-manga-chapters","625","Uninherited Will","May 23, 2011","19"
"1653553987-630","https://listfist.com/list-of-one-piece-manga-chapters","630","Lashing Out","July 4, 2011","19"
"1653553987-49","https://listfist.com/list-of-one-piece-manga-chapters","49","The Storm","July 18, 1998","18"
"1653553987-245","https://listfist.com/list-of-one-piece-manga-chapters","245","Adventure on God's Island","September 9, 2002","17"
"1653553987-52","https://listfist.com/list-of-one-piece-manga-chapters","52","The Oath","August 10, 1998","20"
"1653553987-95","https://listfist.com/list-of-one-piece-manga-chapters","95","Spin, Pinwheel, Spin","July 5, 1999","19"
"1653553987-660","https://listfist.com/list-of-one-piece-manga-chapters","660","Royal Shichibukai Trafalgar Law","March 19, 2012","19"
"1653553987-112","https://listfist.com/list-of-one-piece-manga-chapters","112","Luffy vs. Zoro","November 8, 1999","19"
"1653553987-575","https://listfist.com/list-of-one-piece-manga-chapters","575","Anger Without Words","February 22, 2010","15"
"1653553987-16","https://listfist.com/list-of-one-piece-manga-chapters","16","Versus!! The Buggy Pirate Crew","November 10, 1997","17"
"1653553987-173","https://listfist.com/list-of-one-piece-manga-chapters","173","Bananadile","March 5, 2001","19"
"1653553987-599","https://listfist.com/list-of-one-piece-manga-chapters","599","9 Pirates","October 9, 2010","19"
