web-scraper-order,web-scraper-start-url,Vivre Card [source],Character,Birth Month,Birth Day,Age,Height in Meters,Blood Type
"1653321016-599","https://listfist.com/list-of-one-piece-vivre-cards","null","Ubau","","","","",""
"1653321016-1153","https://listfist.com/list-of-one-piece-vivre-cards","null","Noriko","","","","",""
"1653321016-1141","https://listfist.com/list-of-one-piece-vivre-cards","null","Jigoku Benten","(10) October","18","21","2.25","X (A)"
"1653321016-960","https://listfist.com/list-of-one-piece-vivre-cards","null","Pica","(12) December","14","40","4.70","X (A)"
"1653321016-938","https://listfist.com/list-of-one-piece-vivre-cards","null","Elizabello II","(02) February","2","57","4.36","F (B)"
"1653321016-1042","https://listfist.com/list-of-one-piece-vivre-cards","null","Ban Dedessinée","","","","",""
"1653321016-1044","https://listfist.com/list-of-one-piece-vivre-cards","null","Tama (Sphinx)","","","","",""
"1653321016-712","https://listfist.com/list-of-one-piece-vivre-cards","null","Judy","(11) November","2","","",""
"1653321016-466","https://listfist.com/list-of-one-piece-vivre-cards","null","Toto","(06) June","17","","",""
"1653321016-1018","https://listfist.com/list-of-one-piece-vivre-cards","null","Lindbergh","(05) May","21","37","1.49","F (B)"
"1653321016-1110","https://listfist.com/list-of-one-piece-vivre-cards","null","Suke","","","","",""
"1653321016-511","https://listfist.com/list-of-one-piece-vivre-cards","null","Masira","(03) March","4","25","3.45","F (B)"
"1653321016-996","https://listfist.com/list-of-one-piece-vivre-cards","null","Vinsmoke Niji","(03) March","2","21","1.85","S (O) RH-"
"1653321016-770","https://listfist.com/list-of-one-piece-vivre-cards","null","Puzzle Scorpion","","","","2.00",""
"1653321016-610","https://listfist.com/list-of-one-piece-vivre-cards","null","Snow Leooopard","","","","",""
"1653321016-1019","https://listfist.com/list-of-one-piece-vivre-cards","null","Karasu","(09) September","15","47","2.65","S (O)"
"1653321016-334","https://listfist.com/list-of-one-piece-vivre-cards","null","Gaimon","(08) August","5","45","1.30","X (A)"
"1653321016-762","https://listfist.com/list-of-one-piece-vivre-cards","null","Hannyabal","(08) August","28","35","3.09","S (O)"
"1653321016-669","https://listfist.com/list-of-one-piece-vivre-cards","null","Hogback","(12) December","19","47","2.23","XF (AB)"
"1653321016-1150","https://listfist.com/list-of-one-piece-vivre-cards","null","Onimaru","(11) November","19","69","4.28","X (A)"
"1653321016-385","https://listfist.com/list-of-one-piece-vivre-cards","null","Nako","(07) July","1","","",""
"1653321016-951","https://listfist.com/list-of-one-piece-vivre-cards","null","Bastille","(07) July","14","38","2.91","F (B)"
"1653321016-721","https://listfist.com/list-of-one-piece-vivre-cards","null","Coffee Monkeys","(11) November","14","","",""
"1653321016-874","https://listfist.com/list-of-one-piece-vivre-cards","null","Nora Gitsune","(04) April","10","13","1.03",""
"1653321016-441","https://listfist.com/list-of-one-piece-vivre-cards","null","Chess","(07) July","20","32","1.94","S (O)"
"1653321016-850","https://listfist.com/list-of-one-piece-vivre-cards","null","Didit","","","","",""
"1653321016-447","https://listfist.com/list-of-one-piece-vivre-cards","null","Nefertari Cobra","(02) February","13","50","1.82","F (B)"
"1653321016-1101","https://listfist.com/list-of-one-piece-vivre-cards","null","Monjiro","","","","",""
"1653321016-651","https://listfist.com/list-of-one-piece-vivre-cards","null","Kumadori","(02) February","20","36","3.18","XF (AB)"
"1653321016-904","https://listfist.com/list-of-one-piece-vivre-cards","null","Hoe","(09) September","13","","40.00",""
