"_id","_labels","age","anime_percentage","armament_haki","average_rating_ep","awakening_fruit_of_devil","birth_month","bood_type","bounty_EUR","bounty_USD","chapters_later","class_name","conquerors_haki","days_later","deceased","devil_fruit","height_in_foot","height_in_meters","hometown","manga_percentage","name_character","name_crew","name_race","name_saga","number_chapter","number_ep","observation_haki","page_chapter","payoff","rank_episode_ep","rank_height","rank_wanted","release_date_chapter","sea_name","setup","title_chapter","title_ep","total_chapters","total_episodes","total_pages","total_votes_ep","year_of_release_ep","years_later","_start","_end","_type"
"0",":Episode","","","","7.6","","","","","","","","","","","","","","","","","","","","","1","","","","24,129","","","","","","","I'm Luffy! The Man Who Will Become the Pirate King!","","","","647","1999","",,,
"1",":Episode","","","","7.8","","","","","","","","","","","","","","","","","","","","","2","","","","29,290","","","","","","","The Great Swordsman Appears! Pirate Hunter, Roronoa Zoro","","","","473","1999","",,,
"2",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","3","","","","32,043","","","","","","","Morgan vs. Luffy! Who's This Beautiful Young Girl?","","","","428","1999","",,,
"3",":Episode","","","","8.1","","","","","","","","","","","","","","","","","","","","","4","","","","28,818","","","","","","","Luffy's Past! The Red-haired Shanks Appears!","","","","449","1999","",,,
"4",":Episode","","","","7.5","","","","","","","","","","","","","","","","","","","","","5","","","","37,113","","","","","","","Fear, Mysterious Power! Pirate Clown Captain Buggy!","","","","370","1999","",,,
"5",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","6","","","","36,209","","","","","","","Desperate Situation! Beast Tamer Mohji vs. Luffy!","","","","364","1999","",,,
"6",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","7","","","","37,648","","","","","","","Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!","","","","344","1999","",,,
"7",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","8","","","","38,371","","","","","","","Shousha wa docchi? Akuma no mi no nouryoku taiketsu!","","","","335","1999","",,,
"8",":Episode","","","","7.3","","","","","","","","","","","","","","","","","","","","","9","","","","42,249","","","","","","","Seigi no usotsuki? Kyaputen Usoppu","","","","327","2000","",,,
"9",":Episode","","","","7.5","","","","","","","","","","","","","","","","","","","","","10","","","","41,829","","","","","","","Chijou saikyou no hen na yatsu! Saiminjutsushi Jango","","","","314","2000","",,,
"10",":Episode","","","","7.4","","","","","","","","","","","","","","","","","","","","","11","","","","43,039","","","","","","","Inbou o abake! Kaizoku shitsuji Kyaputen Kuro","","","","310","2000","",,,
"11",":Episode","","","","7.8","","","","","","","","","","","","","","","","","","","","","12","","","","40,540","","","","","","","Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!","","","","303","2000","",,,
"12",":Episode","","","","7.8","","","","","","","","","","","","","","","","","","","","","13","","","","41,379","","","","","","","Kyoufu no futarigumi! Nyâban kyoudai vs Zoro","","","","295","2000","",,,
"13",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","14","","","","42,445","","","","","","","Rufi fukkatsu! Kaya ojousama no kesshi no taikou","","","","292","2000","",,,
"14",":Episode","","","","7.5","","","","","","","","","","","","","","","","","","","","","15","","","","44,849","","","","","","","Kuro o taose! Otoko Usoppu namida no ketsui!","","","","286","2000","",,,
"15",":Episode","","","","7.7","","","","","","","","","","","","","","","","","","","","","16","","","","43,088","","","","","","","Kaya o mamore! Usoppu kaizokudan daikatsuyaku!","","","","286","2000","",,,
"16",":Episode","","","","8.1","","","","","","","","","","","","","","","","","","","","","17","","","","39,004","","","","","","","Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!","","","","296","2000","",,,
"17",":Episode","","","","7.1","","","","","","","","","","","","","","","","","","","","","18","","","","49,802","","","","","","","Anta ga chunjuu! Gaimon to kimyou na nakama","","","","278","2000","",,,
"18",":Episode","","","","8.5","","","","","","","","","","","","","","","","","","","","","19","","","","34,100","","","","","","","Santouryuu no kako! Zoro to Kuina no chikai!","","","","324","2000","",,,
